source;source_lat;source_lng;target;target_lat;target_lng;cost;directed
1288548131;-3.7454162;-38.5670061;1288548190;-3.7458794;-38.566532;0.000662816000107299;f
263302958;-3.7246712;-38.5460226;263302960;-3.7208959;-38.5466652;0.00382959852334407;f
477371687;-3.7319313;-38.5116316;476752572;-3.7322754;-38.5105738;0.00111236039573331;t
1283720165;-3.7585576;-38.6128558;1283719189;-3.7583971;-38.6127753;0.000179556397823589;f
265075322;-3.7514907;-38.558596;265075321;-3.7525182;-38.5577243;0.00134744838120339;t
1304306821;-3.7135981;-38.6027108;1304307194;-3.7137002;-38.6022776;0.000445069264268748;f
265021013;-3.7294574;-38.5339213;264771106;-3.7280392;-38.5334883;0.0014828284593979;t
616348273;-3.7367068;-38.4931988;621557243;-3.736738;-38.4931118;9.24253212064068e-05;f
628525092;-3.7723813;-38.5580495;628524061;-3.7731802;-38.5583075;0.000839526777415363;f
1248707879;-3.7659554;-38.613875;1248707848;-3.7655914;-38.6137623;0.000381047621696753;f
478337886;-3.7297175;-38.5084761;476816782;-3.7300319;-38.5075029;0.00102272459636421;t
264954433;-3.8217458;-38.5202981;264954435;-3.821512;-38.5197905;0.000558856153226297;f
759729896;-3.748013;-38.4484585;759729898;-3.7475526;-38.4487374;0.000538287441799013;t
264943343;-3.8098081;-38.5305215;264943345;-3.808987;-38.5293066;0.00146635166996255;f
1178981401;-3.766864;-38.5691946;1178981412;-3.7670387;-38.5693584;0.000239479706861826;t
100480637;-3.7629571;-38.4757183;100500172;-3.7624415;-38.4757187;0.000515600155158968;f
263330886;-3.7848089;-38.5913358;263330889;-3.7847484;-38.5920435;0.000710281310467439;f
621912966;-3.7381764;-38.4739057;621912967;-3.7383263;-38.4749356;0.00104075166105938;f
629736710;-3.7506678;-38.5455837;629736713;-3.7509789;-38.5452292;0.000471649721721586;f
1355406450;-3.7610946;-38.6350648;1355406218;-3.7599045;-38.6365954;0.00193883324965936;f
1355406636;-3.7555411;-38.629202;1355406324;-3.7547228;-38.6286769;0.00097228848599409;f
621999840;-3.7570835;-38.483171;616924042;-3.7570691;-38.4830037;0.000167918581462459;f
621913199;-3.7261119;-38.4805011;621913200;-3.7265832;-38.4805028;0.000471303065977779;t
1295783060;-3.7648009;-38.5892725;1295782674;-3.7647187;-38.5892308;9.2172284336226e-05;f
263929528;-3.786646;-38.5377047;263929532;-3.7864196;-38.5382397;0.000580931975363182;f
622022653;-3.7737625;-38.4841088;616919189;-3.7735559;-38.4847203;0.000645457829759354;t
1524517357;-3.7665187;-38.6518362;1524517361;-3.7665542;-38.6516554;0.000184252245571991;t
263982018;-3.7670707;-38.6644431;263341757;-3.7665361;-38.6633757;0.00119379224322857;f
616348243;-3.7440561;-38.4976618;574430586;-3.7450219;-38.4979603;0.00101087679269016;t
482794809;-3.7254713;-38.5217139;482794796;-3.7255986;-38.5213042;0.000429021421375378;t
263911612;-3.783272;-38.5123002;264943800;-3.7834344;-38.5122874;0.000162903652506442;f
1275276062;-3.7416581;-38.6115664;1275276034;-3.7414851;-38.6104016;0.00117757719067386;t
1288548226;-3.7527238;-38.5599022;1285207963;-3.7514222;-38.5613037;0.00191268523547407;f
100454949;-3.6956043;-38.6097265;100435651;-3.6968931;-38.6089561;0.00150150644354299;f
621999813;-3.7470477;-38.4799391;621913245;-3.7468375;-38.4798816;0.000217922669771945;t
264770607;-3.7342315;-38.5389247;265639882;-3.7351056;-38.5391935;0.000914496719513045;t
1285208016;-3.7605114;-38.573894;1285208034;-3.760786;-38.5731065;0.000834003243400176;f
622032145;-3.7658296;-38.4835616;616924101;-3.7668113;-38.4835509;0.000981758310380034;f
599631413;-3.7270357;-38.496481;599631411;-3.7269422;-38.496457;9.6531083077922e-05;t
629736620;-3.7532341;-38.5518318;629736628;-3.7515508;-38.5503091;0.00226982690529627;f
265626329;-3.7235181;-38.524989;265203632;-3.7232075;-38.5257767;0.000846725250601273;f
